Burst,Pause,Syntactic.Context.of.the.pause,Distance.to.theme.after,Distance.to.theme.before,Thematic.element.with.pause,Thematic.element.without.pause,Non.Themetic.with.pause,Non.Thematic.without.pause,topical,evaluative,thematized.CA,marked,enhanced,textual,file_id
to date.,13.553,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
The devci<BACKSPACE9>,3.183,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
The<BACKSPACE3>,1.152,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
Dece<BACKSPACE1>ision to do something new i<BACKSPACE1>has always been universally associated with increase <BACKSPACE1>d levels of anxiety.,7.52,end sentence,0,72,1,NA,1,NA,NA,NA,NA,1,NA,NA,15
People tend to fidn<BACKSPACE2>nd t<BACKSPACE1>idf<BACKSPACE23>,5.824,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
This is expe<BACKSPACE3>specially r<BACKSPACE1>true when t<BACKSPACE1>it coe<BACKSPACE1>mes to the,3.471,mid NP,6,20,NA,1,NA,NA,NA,1,NA,NA,NA,NA,15
evermore,1.104,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
anxiery<BACKSPACE2>ty,1.391,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
<BACKSPACE1>,1.248,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
-,9.631,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
<BACKSPACE18> diste<BACKSPACE1>ressing issue of meeting somme<BACKSPACE5>a potentil<BACKSPACE1>al romantic partner.,8.816,end sentence,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,15
"In addition <BACKSPACE1>,",4.079,end PP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15
there a<BACKSPACE1>is a vast gamut of,1.296,mid NP,8,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,15
resources assicuated<BACKSPACE6>o<BACKSPACE2>ociated with this u<BACKSPACE1>issue.,8.546,end sentence,0,27,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15
Ranging from,6.287,mid PP,0,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,15
b,1.12,mid word,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"eauty products,",1.744,end PP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
<BACKSPACE2> to,7.263,mid PP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
social,1.183,mid PP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"gathering places, there is a guge <BACKSPACE5>hgue <BACKSPACE4>uge<BACKSPACE1>e economical aspect",21.2,end sentence,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,15
to the,1.792,mid PP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
whole experience of finin<BACKSPACE1>di<BACKSPACE3>ding a mate.,11.936,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15
"The most important <BACKSPACE13>t<BACKSPACE2>st<BACKSPACE3>most significant challenge a<BACKSPACE1>related ot he<BACKSPACE5>to tg<BACKSPACE1>hi <BACKSPACE1>s issue, therefore,",8.465,end AG,0,0,2,NA,NA,NA,1,NA,NA,NA,NA,1,15
<LEFT38><RIGHT3>s<DOWN1>,15.135,end AG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
canbe <BACKSPACE3>b<BACKSPACE1> be summaraize<BACKSPACE4>uz<BACKSPACE2>ized,1.198,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
intp <BACKSPACE2>o two dimensions/ <BACKSPACE2>.,1.967,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15
<BACKSPACE2>: ther<BACKSPACE1>,3.233,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
issue of,1.423,mid NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15
personal risks and anxiety associated wit,1.216,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
h it; <BACKSPACE2>l<BACKSPACE1>p<BACKSPACE1>; and the,2.222,mid NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15
moner<BACKSPACE1>tary aspect of t.<BACKSPACE3>i<BACKSPACE1> it.,10.206,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
Going back to main,4.64,mid NP,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,15
questions of<BACKSPACE12>,2.015,mid NP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
dichotomy,1.456,end NP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"of online vs inp<BACKSPACE1>-person dates,",5.649,end NP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
there is a,1.023,mid NP,7,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,15
huge,5.952,mid NP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
case to ma<BACKSPACE2>be made for,2.11,mid PP,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
online dat<BACKSPACE3>first dates.,9.312,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15
In light of the <BACKSPACE16>,4.879,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
Ie<BACKSPACE1> l<BACKSPACE1>beluive<BACKSPACE4>ive<BACKSPACE2>eve,26.078,end VP,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,15
it woul <BACKSPACE1>d be,2.094,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
not surpo,1.022,mid word,0,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,15
<BACKSPACE1>,1.01,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
rising to see tha<BACKSPACE7>see cases where meeting,2.111,end NP,0,25,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,15
<BACKSPACE8>fater<BACKSPACE5>afet <BACKSPACE3>ter meeting people online the degree of,1.404,mid NP,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,15
anxiety in meeting themi<BACKSPACE1> in <BACKSPACE1>-person <BACKSPACE1>,1.072,end PP,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,15
decreases significantly/ <BACKSPACE2>.,13.039,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"SO, <BACKSPACE3>o,",2.047,end AG,0,0,1,NA,1,NA,NA,NA,NA,NA,NA,1,15
"in light of this aspect <BACKSPACE1>, this makes a lot of sense. <BACKSPACE1>",14.959,end sentence,0,15,1,1,NA,NA,1,NA,NA,NA,NA,1,15
On ther o<BACKSPACE3> other ha,1.055,mid word,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,15
"nd,",4.652,end PP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
considering the issue of,4.241,mid NP,11,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,15
"money,",6.062,end NP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
one can only <BACKSPACE5>ceryt<BACKSPACE2>tainly,1.871,end AG,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15
<BACKSPACE10>easily image <BACKSPACE2>o<BACKSPACE1>ine the ammo<BACKSPACE2>ount of money that could potentially be,1.839,end VP,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,15
"save <BACKSPACE1>d <BACKSPACE1>,<BACKSPACE1> by avoiding",3.103,mid PP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15
certain people that,4.591,end AG,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15
<BACKSPACE6>.,5.984,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"Online dates, n<BACKSPACE1>in this sense, could arguably be very helpful too.",50.094,end sentence,0,50,1,NA,1,1,NA,NA,NA,NA,NA,NA,15
By,1.872,mid PP,0,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,15
making an ttem<BACKSPACE4>attempt to,1.809,mid NP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"<BACKSPACE1>, at least superficially,",4.895,end AG,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,15
"know people. <BACKSPACE2>, one could",1.216,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
easilyu <BACKSPACE2>,1.04,end AG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
avoid,1.776,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
the possibliytu <BACKSPACE3> fo<BACKSPACE2>of se<BACKSPACE2>wasteful seconds <BACKSPACE2> dates and,6.464,end AG,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15
"loss of monerta<BACKSPACE3>tart <BACKSPACE2>y resources, <BACKSPACE2>.",3.005,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15
"<ENTER1>Coc<BACKSPACE1>ncseq<BACKSPACE4>sequently, I would",1.168,mid VP,0,0,2,NA,NA,NA,NA,1,NA,NA,NA,1,15
"arug<BACKSPACE2>gue that, at least in light of the met<BACKSPACE1>ntions o<BACKSPACE1>concerns associated with",1.31,mid PP,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,15
"in-person fisrt d<BACKSPACE5>rst dates,",1.486,end PP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
meeting new people,2.288,end NP,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,15
for datign wo<BACKSPACE5>ng would amej<BACKSPACE4>nake<BACKSPACE4>nak<BACKSPACE3>make fo<BACKSPACE2>more sent<BACKSPACE1>se if conducted online.,33.642,end sentence,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,15
<SPACE>,1.84,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
<RIGHT1><HIGHLIGHT 315:411><UP1><HIGHLIGHT 223:411><UP1><HIGHLIGHT 127:411><UP1><HIGHLIGHT 128:411><RIGHT1><HIGHLIGHT 225:411><DOWN1><HIGHLIGHT 316:411><DOWN1><HIGHLIGHT 225:411><UP1><HIGHLIGHT 226:411><RIGHT1><HIGHLIGHT 227:411><RIGHT1><HIGHLIGHT 228:411><RIGHT1><HIGHLIGHT 229:411><RIGHT1><HIGHLIGHT 230:411><RIGHT1><HIGHLIGHT 231:411><RIGHT1><HIGHLIGHT 232:411><RIGHT1><HIGHLIGHT 233:411><RIGHT1><BACKSPACE1>,6.974,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
<MOUSECLICK><BACKSPACE1>,3.856,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
<UP1><RIGHT10>,67.646,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
<MOUSECLICK>,7.064,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
<MOUSECLICK><BACKSPACE1>ed,1.335,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
The issue of dating o<BACKSPACE1>is a,1.832,mid NP,0,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,16
<BACKSPACE5>can be a very,7.77,mid NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,16
challengin,1.001,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
g,1.281,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
thing doi<BACKSPACE2>oids<BACKSPACE3>o<BACKSPACE2>idscuss<BACKSPACE6>sciss<BACKSPACE3>uss.,2.758,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
ITi<BACKSPACE2>t is one the m<BACKSPACE1>most,1.048,mid NP,5,0,1,NA,NA,NA,NA,NA,NA,NA,1,NA,16
i<BACKSPACE2> signifitnc<BACKSPACE3>,1.007,mid word,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
cant,3.611,mid NP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
and mos <BACKSPACE1>t importnt <BACKSPACE4>tant,1.75,mid NP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
isseue<BACKSPACE3>ues that tell us a lot anouy<BACKSPACE4>bout the state of a society.,11.554,end sentence,0,48,NA,NA,1,2,NA,NA,NA,NA,NA,NA,16
Ther <BACKSPACE1>e are generally,1.411,end NP,9,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,16
f<BACKSPACE1>different option available for people for meeting nmew<BACKSPACE3>ew peipl<BACKSPACE3>ope<BACKSPACE1>le in ther<BACKSPACE1>ir lives.,5.582,end sentence,0,49,1,NA,1,2,NA,NA,NA,NA,1,NA,16
I belei<BACKSPACE2>ieve,13.999,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
ther<BACKSPACE1> most imporant thing is g<BACKSPACE2>n<BACKSPACE2>n general is the perso a<BACKSPACE2> a<BACKSPACE2>nal safety of people we<BACKSPACE1>hen they are exploring,1.103,end sentence,0,67,1,NA,NA,4,NA,1,NA,NA,NA,NA,16
<BACKSPACE1> in thie<BACKSPACE2>ier <BACKSPACE4>oer per<BACKSPACE7>eir personal lives.,17.484,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,16
That is a persnal <BACKSPACE4>onal belief of mine.,7.349,end sentence,9,8,NA,1,1,NA,NA,1,NA,NA,NA,NA,16
"In this regard,",8.446,end PP,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,16
safe<BACKSPACE3>t<BACKSPACE2>the issue of safety is especially significant for the issue of dayin<BACKSPACE3>ting.,29.768,end sentence,0,50,1,NA,1,1,1,NA,NA,NA,NA,NA,16
THe <BACKSPACE3>he available options,1.273,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
<BACKSPACE22>,2.544,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"Considering this,",7.15,end NP,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,16
muy <BACKSPACE3>y bef<BACKSPACE1>lied<BACKSPACE1>f is that ss<BACKSPACE2>b<BACKSPACE6>,13.223,end VP,0,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,16
online dating would generally be preferable to,1.517,mid NP,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,16
"meeting new peiop<BACKSPACE3>p<BACKSPACE1>op,e <BACKSPACE3>le in person.",3.971,end sentence,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,16
This could also be due to the ac<BACKSPACE2>fact that I am<BACKSPACE2>have more <BACKSPACE6> had more suvve<BACKSPACE3>ccess doing tis <BACKSPACE3>,1.108,end VP,29,36,NA,1,NA,NA,1,NA,NA,NA,NA,NA,16
his. <BACKSPACE76>,37.555,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
One hear,2.018,mid word,0,4,1,NA,NA,NA,NA,NA,1,NA,NA,NA,16
here and there storie<BACKSPACE1>es about people having,1.053,end VP,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,16
horrible and downti<BACKSPACE2>ru<BACKSPACE1>ight tragic fisrt<BACKSPACE3>irst <BACKSPACE5>rst dates.,1.288,end sentence,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,16
<BACKSPACE2> wiht<BACKSPACE2>th people <BACKSPACE1>.,17.231,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
<UP2><DOWN1><RIGHT12> are,16.75,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
<DOWN1>,19.268,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
<UP1><LEFT19>s<DOWN1><RIGHT1>,4.085,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
These sorts of issue <BACKSPACE1>s,4.761,end NP,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,16
are exactly the type of thins<BACKSPACE1>gs that I would like to aboid <BACKSPACE4>v<BACKSPACE2>void.,5.939,end sentence,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,16
<UP1><RIGHT23>,1.232,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
REadi<BACKSPACE4>eading about thes <BACKSPACE2>e<BACKSPACE1>se things a<BACKSPACE1>in newpap<BACKSPACE3>spaper <BACKSPACE1>s and,2.025,end NP,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,16
website <BACKSPACE1>s not<BACKSPACE1>rmally haun,1.071,mid word,0,13,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,16
t people for,1.001,mid PP,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,16
a wekk <BACKSPACE3>ek or so.,4.058,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,16
Cons,1.157,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
<BACKSPACE4>,5.329,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
<LEFT2><HIGHLIGHT 824:825><HIGHLIGHT 823:825><HIGHLIGHT 822:825><HIGHLIGHT 821:825><HIGHLIGHT 820:825><HIGHLIGHT 819:825><HIGHLIGHT 818:825><HIGHLIGHT 817:825><HIGHLIGHT 816:825><HIGHLIGHT 815:825><HIGHLIGHT 814:825><LEFT11><HIGHLIGHT 813:825><LEFT1><REPLACED>almojst<BACKSPACE3>st <BACKSPACE1>a week<RIGHT1>,6.045,mid PP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,16
One can only image,1.485,end VP,0,14,1,NA,NA,NA,1,NA,NA,NA,NA,NA,16
<RIGHT1><BACKSPACE2>,1.288,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
<SPACE>,6.985,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
wa<BACKSPACE1>hat the actuall<BACKSPACE1> vocyi<BACKSPACE4>ictims feel,1.572,end sentence,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,16
and,1.298,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
the meomo<BACKSPACE3>moi<BACKSPACE1>rie<BACKSPACE2>ri<BACKSPACE1>i<BACKSPACE2>ies,8.383,end NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,16
that will,3.733,mid VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
never leave them,1.128,end sentence,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,16
for their lo<BACKSPACE1>ives.,29.733,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,16
<DOWN1>,7.934,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
The ga<BACKSPACE7>The greati<BACKSPACE1>est arguments that anyone coi<BACKSPACE1>uld make a,1.835,mid NP,0,24,1,NA,NA,1,1,NA,NA,NA,NA,NA,16
gaist meeting,1.82,end NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,16
"po<BACKSPACE1>eople <BACKSPACE7>new people to date in person pertains fot<BACKSPACE3>to this s<BACKSPACE1>issue, the issue of personal safety. <ENTER1>",1.916,end sentence,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,16
"On the other hand,",17.688,end PP,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,16
I do in<BACKSPACE2>understand the,14.169,mid NP,0,17,1,NA,NA,NA,1,NA,NA,NA,NA,NA,16
significant <BACKSPACE2>ce of,1.062,mid NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,16
actuall<BACKSPACE1> real-life meeting with people.,6.432,end sentence,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,16
"As I mento<BACKSPACE1>ioned,",4.302,end clause,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,16
<BACKSPACE17>,7.124,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
Once <BACKSPACE3>e can ima,1.286,mid word,0,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,16
"gine,",7.331,end VP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
<BACKSPACE2>,3.775,end VP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
a,1.292,mid NP,0,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,16
quite recurring scenario when you meet someone on <BACKSPACE3>in,1.103,mid PP,0,24,NA,NA,1,1,NA,NA,NA,NA,NA,NA,16
"perosn<BACKSPACE3>son,",1.15,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"<BACKSPACE2>n, and the",1.392,mid NP,4,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,16
image ath<BACKSPACE3>that you had conjunr<BACKSPACE2>red up beffo<BACKSPACE2>ore oi<BACKSPACE2>gets,1.275,end VP,0,36,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,16
shattered.,1.533,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
Yuo <BACKSPACE3>ou suddentl<BACKSPACE2>,1.702,mid word,0,0,1,NA,1,NA,1,1,NA,NA,NA,NA,16
ly realized <BACKSPACE2>,6.283,end VP,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
that the person that had lnow <BACKSPACE5>known in mo<BACKSPACE2>your mind is,2.212,end VP,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,16
just,2.065,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
an illusoi<BACKSPACE2>,1.023,mid word,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,16
sion<BACKSPACE4>ion.,8.328,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"Ht<BACKSPACE2>This <BACKSPACE4>Fron <BACKSPACE6>From t<BACKSPACE1>another perspecit<BACKSPACE2>tive,",4.379,end PP,0,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,16
this makes a case for the importance of,1.901,mid NP,0,34,1,NA,1,1,1,NA,NA,NA,NA,NA,16
meeting in real-time as well.,3.91,end sentence,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,16
Tha is <BACKSPACE4>t is,3.747,end VP,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
you cannont<BACKSPACE3>ot make serious long-term decision <BACKSPACE1>s based o <BACKSPACE1>n <BACKSPACE9>without,2.121,mid PP,0,47,1,NA,NA,1,NA,NA,NA,NA,1,NA,16
meetrin<BACKSPACE3>=i<BACKSPACE2>ing people in real-life <BACKSPACE1>.,2.55,end sentence,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,16
<UP6><LEFT1><DOWN1><LEFT8> <DOWN2><UP2><RIGHT24><ENTER1>,1.877,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"All, <BACKSPACE2> in all,",8.141,end NP,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,16
"as the most important thin<BACKSPACE4>uiss<BACKSPACE4>issue,<BACKSPACE1> is <BACKSPACE3>",5.942,end NP,3,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,16
pertais <BACKSPACE2>ns <BACKSPACE3>ns to th<BACKSPACE15>,9.095,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"is the safety pf p<BACKSPACE4>of people,",5.324,end clause,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,16
making first contacts and having,2.87,end VP,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,16
fisrt<BACKSPACE3>rst dates,2.664,end NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,16
online <BACKSPACE2>e sees<BACKSPACE1>ms like a,1.017,mid NP,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,16
"msart <BACKSPACE6>smart ideas<BACKSPACE1>,",2.703,end clause,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,16
and it can lead to recued <BACKSPACE5>duced unvve<BACKSPACE3>nn<BACKSPACE1>e<BACKSPACE2>necces,1.065,mid word,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,16
ary risj<BACKSPACE1>ks.,37.599,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"However, poeple should be careful when it comes to makning l<BACKSPACE6>ing long-term decisions. The <BACKSPACE4>",5.594,end sentence,0,62,1,1,1,1,1,NA,NA,NA,NA,1,16
The h<BACKSPACE1>changes o<BACKSPACE5>ces of you makning <BACKSPACE5>ign smar<BACKSPACE7>ng ma<BACKSPACE2>smart decisions after a couple of m<BACKSPACE1>e<BACKSPACE1>online meeting when t<BACKSPACE1>it come to<BACKSPACE3>sot <BACKSPACE3> to serious real,4.474,mid NP,0,85,1,NA,NA,2,1,NA,NA,NA,NA,NA,16
"<BACKSPACE30> is wu<BACKSPACE2>quitr<BACKSPACE1>e low,",1.599,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,16
special<BACKSPACE8>,3.644,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
especial<BACKSPACE8>,6.402,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
when it comes to serious relatuo<BACKSPACE2>ions,1.315,end sentence,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,16
hips.,14.678,end sentence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
<MOUSECLICK> to,10.038,mid NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
<DOWN2><RIGHT18>s,31.436,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
<MOUSECLICK><LEFT3><BACKSPACE1>,1.032,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
<DOWN1><UP1><RIGHT1>a,1.01,mid word,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
<DOWN1>,16.717,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
<DOWN3>,1.461,end NP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"Gemera<BACKSPACE4>nerally, <BACKSPACE3>",1.105,mid word,0,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,17
"y speaking, I think it makes",1.312,end VP,0,8,NA,1,NA,NA,NA,1,NA,NA,NA,NA,17
sense if the first couple of dates wh<BACKSPACE1>ere,4.749,end VP,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,17
